unique_words/months,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Grand Total
29,,,,,4,5,6,4,19,6,11,4,8,3,2,7,2,1,,,1,,,83
30,,,,,2,4,2,3,20,7,12,4,3,2,2,,3,3,,,,,1,68
31,,,,1,1,11,3,1,20,6,18,10,4,4,,2,3,2,,1,,,,87
32,1,1,3,,1,6,,4,14,5,10,6,4,2,1,2,1,,1,1,,,,63
33,,,1,,,6,,1,18,12,15,3,4,,1,,7,2,1,2,,,1,74
34,,1,,,6,8,2,3,22,11,14,5,6,4,2,2,3,,2,,,,1,92
35,,,,,,8,4,2,26,4,12,6,,2,1,,6,1,1,1,,,,74
36,1,,1,,,8,2,1,16,7,11,2,7,3,3,3,,1,1,,,,2,69
37,,,,,1,2,,1,18,10,8,6,7,,2,1,1,2,1,,,1,,61
38,,,,,1,5,4,3,13,6,3,1,1,2,,4,2,1,,,,,,46
39,,,,1,,,1,1,22,10,10,2,2,1,1,,2,2,,,,,,55
40,,,,,2,5,3,,18,5,12,6,3,1,4,,,1,1,,,1,,62
41,,,,,1,3,,1,17,9,7,8,4,3,1,,5,1,,,,1,,61
42,,,,,1,2,3,2,16,6,10,11,1,3,2,3,3,1,,,,,1,65
43,,,,,,2,4,2,10,7,9,2,4,1,1,2,4,1,,,,,1,50
44,,,,,,3,,2,9,8,13,3,3,2,6,1,3,,1,,,1,2,57
45,,,,,1,5,1,1,16,5,7,4,5,4,1,1,2,3,1,,,1,2,60
46,,,,,,1,2,1,17,6,9,7,3,,,,5,1,,,,2,,54
47,,,,,,,2,,15,5,11,4,4,2,2,1,3,,,1,1,,,51
48,,,,,,,4,,21,11,6,5,1,1,,1,1,3,,1,,1,1,57
49,,,,,1,1,1,,18,8,12,3,8,2,4,1,2,4,1,,,,4,70
50,,,,,,3,1,,7,2,10,7,5,,3,,6,,,,1,,1,46
51,,,,,,1,2,,8,7,9,5,4,2,2,2,6,,,,,,,48
52,,1,,,1,2,1,1,12,5,12,7,3,,2,2,2,,2,1,,,,54
53,,,,1,,3,1,3,7,6,9,7,5,2,2,5,3,,1,,,1,1,57
54,1,,,1,1,,1,1,17,2,3,1,4,2,1,2,5,3,1,,,,,46
55,,1,,1,,2,1,,7,7,5,4,1,1,4,1,4,1,1,,1,,,42
56,,,,,1,3,,,13,8,5,3,2,,1,2,2,,,1,,,,41
57,,,,,,2,,1,11,9,5,5,1,1,2,3,2,3,,2,,,1,48
58,,1,,,,2,1,,14,6,5,4,5,1,6,4,2,2,,,,1,,54
59,,,,,1,1,2,2,13,2,5,4,3,4,1,1,5,1,1,1,,,1,48
60,,,,,,,,,10,5,9,3,4,5,3,1,2,2,,1,,,1,46
61,,,,,,2,,,10,3,5,7,3,1,,4,3,1,,,1,,1,41
62,1,1,,,,,1,2,12,8,2,1,5,1,7,1,3,,,,1,,1,47
63,,,,,1,1,1,,3,6,2,2,8,1,1,,3,2,1,,,,2,34
64,,,,,,,1,2,8,3,7,6,2,3,4,2,,,2,,,,,40
65,,,,,,,2,1,7,4,6,6,2,3,,3,2,2,,1,1,,,40
66,,,,,2,1,1,,7,4,6,6,3,2,2,1,5,3,1,,,,4,48
67,,,,,,,,,9,2,5,2,6,,,3,5,,,,,,1,33
68,,,,,,1,,,6,4,2,2,8,1,2,7,5,1,,,,,1,40
69,,,,1,,2,,1,7,1,2,3,,4,,1,2,1,,2,1,1,,29
70,,,,,,,,1,9,2,3,1,4,,,,1,2,,1,1,,2,27
71,,,,,1,,1,,11,7,4,1,3,1,3,1,4,1,,1,2,,,41
72,,,,,,,1,,4,1,7,4,5,2,,2,9,5,,1,,,2,43
73,,,,,,,2,,12,1,5,4,1,2,2,2,1,,,,2,,,34
74,,,,,,,,,13,3,3,2,,,,,3,,,,,,2,26
75,1,,,1,,,,1,11,2,6,2,4,2,,3,4,,1,,1,1,,40
76,,,,,1,1,,,10,,7,6,3,1,2,1,5,2,1,2,,,,42
77,,,,,,,,,8,2,5,4,1,2,,1,2,1,1,,1,1,2,31
78,,,1,,,,,1,4,5,1,3,3,2,1,1,3,1,2,1,1,,1,31
79,,,1,,,2,,1,9,6,3,3,1,2,,3,8,2,,1,,,1,43
80,,,,,,2,,,5,,1,1,1,2,4,6,9,,,,,,1,32
81,,,,,,,,,10,1,2,1,3,1,1,1,1,,,,,,,21
82,,,,,,,1,,8,4,5,3,3,,2,3,7,4,,,,,,40
83,,,,,,2,,,4,3,7,1,2,,,2,1,3,1,,,,,26
84,,,,,,2,,2,4,2,7,4,3,1,,,4,2,,1,,,2,34
85,,,,,,,1,,12,5,6,7,3,,2,2,3,1,,2,,1,1,46
86,,,,,,,,,5,2,1,2,1,2,3,4,6,,,2,4,2,,34
87,,,,,,,1,,4,2,6,1,2,1,2,3,3,2,1,,,,1,29
88,,,,,,,,1,6,5,6,2,1,,,3,2,,,,,1,,27
89,,,,,,,,,5,3,4,2,2,2,2,3,4,3,1,,,,2,33
90,,,,,,,,1,8,1,2,2,2,1,1,1,2,2,1,,,,,24
91,,,,,,,,,5,3,6,4,1,1,2,3,2,2,2,1,,,,32
92,,,,,,,,,3,1,3,2,2,,1,1,1,3,1,,,1,,19
93,,,,,,,,1,2,2,4,,,4,2,,1,,,1,,,1,18
94,,,,,,,,,3,,4,,,,1,2,2,,,2,1,1,1,17
95,,,,,1,,,,5,1,7,1,,1,4,1,,,3,,,1,,25
96,,,,,,1,,,4,2,2,2,,2,1,1,3,1,1,,1,,1,22
97,,,,,,,,,4,1,4,1,2,2,2,1,3,2,1,1,,,1,25
98,,,,,,,,1,5,1,4,3,,2,1,,1,4,1,,,,1,24
99,,,,,,,1,,3,2,,4,3,,2,1,1,1,,,,,1,19
100,,,,,,,1,,4,2,4,2,2,2,3,,1,1,,,2,1,,25
101,,,,,,,,,6,2,1,2,2,1,1,3,,2,,,,,,20
102,,,,,,,,1,3,1,2,1,1,,4,1,2,1,,,,1,1,19
103,,,,,,1,,,2,2,4,4,3,2,,,1,2,,1,,,2,24
104,,,,,,,,,3,2,2,5,6,1,1,2,1,2,,,1,1,,27
105,,,,,,,,2,1,,1,1,1,1,1,1,4,3,1,,1,1,,19
106,,,,,,,,1,2,1,5,3,1,2,,2,,2,,,1,1,,21
107,1,,,,,1,,,6,2,1,1,2,2,1,2,1,5,,,,1,,26
108,,,,,,,,,4,2,,1,2,,,,2,2,,,1,1,1,16
109,,,,,,,,,1,4,4,2,2,3,2,2,,,,,,,1,21
110,,,,,,,1,,3,2,2,1,2,1,,1,1,,1,,,1,,16
111,,,,,,,1,,,1,1,2,2,2,3,2,4,,,1,,1,1,21
112,,,,,,,1,,2,1,,,,4,,,,,,1,1,,,10
113,,,,,,,,,3,2,3,5,,1,2,1,,,,1,,,1,19
114,,,,,,1,1,,1,3,3,,3,,1,,4,,1,,1,,,19
115,,,,,,,,,5,2,1,3,,,2,2,2,3,,1,,,2,23
116,,,,,,,,,2,,,,2,1,4,,2,,,1,1,,,13
117,,1,,,,,,,8,2,3,1,2,5,,3,1,2,1,1,1,1,3,35
118,,,,,,1,,,2,6,6,1,2,3,,2,2,1,,,1,1,,28
119,,,,,,,,,2,3,5,1,1,1,,,5,3,1,,,1,1,24
